template_id,src_cat,src_aspect,predicate,tgt_cat,tgt_aspect
t0087,chemical role,,interacts with,attribute,
t0088,chemical role,,interacts with,organism taxon,
t0089,chemical role,,interacts with,event,
t0090,chemical role,,associated with sensitivity to,molecular entity,
t0091,chemical role,,associated with sensitivity to,chemical mixture,
t0092,chemical role,,associated with sensitivity to,environmental food contaminant,
t0093,chemical role,,associated with resistance to,molecular entity,
t0094,chemical role,,associated with resistance to,chemical mixture,
t0095,chemical role,,associated with resistance to,environmental food contaminant,
t0096,chemical role,,correlated with,attribute,
t0097,chemical role,,correlated with,organism taxon,
t0098,chemical role,,correlated with,event,
t0099,chemical role,,positively correlated with,attribute,
t0100,chemical role,,positively correlated with,organism taxon,
t0101,chemical role,,positively correlated with,event,
t0102,chemical role,,negatively correlated with,attribute,
t0103,chemical role,,negatively correlated with,organism taxon,
t0104,chemical role,,negatively correlated with,event,
t0105,chemical role,,occurs together in literature with,attribute,
t0106,chemical role,,occurs together in literature with,organism taxon,
t0107,chemical role,,occurs together in literature with,event,
t0108,chemical role,,located in,attribute,
t0109,chemical role,,located in,organism taxon,
t0110,chemical role,,located in,event,
t0111,chemical role,,location of,attribute,
t0112,chemical role,,location of,organism taxon,
t0113,chemical role,,location of,event,
t0114,chemical role,,is input of,molecular activity,
t0115,chemical role,,is input of,biological process,
t0116,chemical role,,is output of,molecular activity,
t0117,chemical role,,is output of,biological process,
t0118,chemical role,,actively involved in,molecular activity,
t0119,chemical role,,actively involved in,biological process,
t0120,chemical role,,capable of,activity and behavior,
t0121,chemical role,,capable of,phenomenon,
t0122,chemical role,,capable of,environmental process,
t0123,chemical role,,consumes,attribute,
t0124,chemical role,,consumes,organism taxon,
t0125,chemical role,,consumes,event,
t0126,chemical role,,consumed by,attribute,
t0127,chemical role,,consumed by,organism taxon,
t0128,chemical role,,consumed by,event,
t0129,chemical role,,is molecular consequence of,,
t0130,biological sex,,related to,attribute,
t0131,biological sex,,related to,organism taxon,
t0132,biological sex,,related to,event,
t0133,biological sex,,associated with,attribute,
t0134,biological sex,,associated with,organism taxon,
t0135,biological sex,,associated with,event,
t0136,biological sex,,superclass of,attribute,
t0137,biological sex,,superclass of,relationship type,
t0138,biological sex,,superclass of,taxonomic rank,
t0139,biological sex,,subclass of,attribute,
t0140,biological sex,,subclass of,relationship type,
t0141,biological sex,,subclass of,taxonomic rank,
t0142,biological sex,,assesses,attribute,
t0143,biological sex,,assesses,organism taxon,
t0144,biological sex,,assesses,event,
t0145,biological sex,,is assessed by,attribute,
t0146,biological sex,,is assessed by,organism taxon,
t0147,biological sex,,is assessed by,event,
t0148,biological sex,,interacts with,attribute,
t0149,biological sex,,interacts with,organism taxon,
t0150,biological sex,,interacts with,event,
t0151,biological sex,,associated with sensitivity to,molecular entity,
t0152,biological sex,,associated with sensitivity to,chemical mixture,
t0153,biological sex,,associated with sensitivity to,environmental food contaminant,
t0154,biological sex,,associated with resistance to,molecular entity,
t0155,biological sex,,associated with resistance to,chemical mixture,
t0156,biological sex,,associated with resistance to,environmental food contaminant,
t0157,biological sex,,correlated with,attribute,
t0158,biological sex,,correlated with,organism taxon,
t0159,biological sex,,correlated with,event,
t0160,biological sex,,positively correlated with,attribute,
t0161,biological sex,,positively correlated with,organism taxon,
t0162,biological sex,,positively correlated with,event,
t0163,biological sex,,negatively correlated with,attribute,
t0164,biological sex,,negatively correlated with,organism taxon,
t0165,biological sex,,negatively correlated with,event,
t0166,biological sex,,occurs together in literature with,attribute,
t0167,biological sex,,occurs together in literature with,organism taxon,
t0168,biological sex,,occurs together in literature with,event,
t0169,biological sex,,located in,attribute,
t0170,biological sex,,located in,organism taxon,
t0171,biological sex,,located in,event,
t0172,biological sex,,location of,attribute,
t0173,biological sex,,location of,organism taxon,
t0174,biological sex,,location of,event,
t0175,biological sex,,is input of,molecular activity,
t0176,biological sex,,is input of,biological process,
t0177,biological sex,,is output of,molecular activity,
t0178,biological sex,,is output of,biological process,
t0179,biological sex,,actively involved in,molecular activity,
t0180,biological sex,,actively involved in,biological process,
t0181,biological sex,,capable of,activity and behavior,
t0182,biological sex,,capable of,phenomenon,
t0183,biological sex,,capable of,environmental process,
t0184,biological sex,,consumes,attribute,
t0185,biological sex,,consumes,organism taxon,
t0186,biological sex,,consumes,event,
t0187,biological sex,,consumed by,attribute,
t0188,biological sex,,consumed by,organism taxon,
t0189,biological sex,,consumed by,event,
t0190,biological sex,,is molecular consequence of,,
t0191,phenotypic sex,,related to,attribute,
t0192,phenotypic sex,,related to,organism taxon,
t0193,phenotypic sex,,related to,event,
t0194,phenotypic sex,,associated with,attribute,
t0195,phenotypic sex,,associated with,organism taxon,
t0196,phenotypic sex,,associated with,event,
t0197,phenotypic sex,,superclass of,attribute,
t0198,phenotypic sex,,superclass of,relationship type,
t0199,phenotypic sex,,superclass of,taxonomic rank,
t0200,phenotypic sex,,subclass of,attribute,
t0201,phenotypic sex,,subclass of,relationship type,
t0202,phenotypic sex,,subclass of,taxonomic rank,
t0203,phenotypic sex,,assesses,attribute,
t0204,phenotypic sex,,assesses,organism taxon,
t0205,phenotypic sex,,assesses,event,
t0206,phenotypic sex,,is assessed by,attribute,
t0207,phenotypic sex,,is assessed by,organism taxon,
t0208,phenotypic sex,,is assessed by,event,
t0209,phenotypic sex,,interacts with,attribute,
t0210,phenotypic sex,,interacts with,organism taxon,
t0211,phenotypic sex,,interacts with,event,
t0212,phenotypic sex,,associated with sensitivity to,molecular entity,
t0213,phenotypic sex,,associated with sensitivity to,chemical mixture,
t0214,phenotypic sex,,associated with sensitivity to,environmental food contaminant,
t0215,phenotypic sex,,associated with resistance to,molecular entity,
t0216,phenotypic sex,,associated with resistance to,chemical mixture,
t0217,phenotypic sex,,associated with resistance to,environmental food contaminant,
t0218,phenotypic sex,,correlated with,attribute,
t0219,phenotypic sex,,correlated with,organism taxon,
t0220,phenotypic sex,,correlated with,event,
t0221,phenotypic sex,,positively correlated with,attribute,
t0222,phenotypic sex,,positively correlated with,organism taxon,
t0223,phenotypic sex,,positively correlated with,event,
t0224,phenotypic sex,,negatively correlated with,attribute,
t0225,phenotypic sex,,negatively correlated with,organism taxon,
t0226,phenotypic sex,,negatively correlated with,event,
t0227,phenotypic sex,,occurs together in literature with,attribute,
t0228,phenotypic sex,,occurs together in literature with,organism taxon,
t0229,phenotypic sex,,occurs together in literature with,event,
t0230,phenotypic sex,,located in,attribute,
t0231,phenotypic sex,,located in,organism taxon,
t0232,phenotypic sex,,located in,event,
t0233,phenotypic sex,,location of,attribute,
t0234,phenotypic sex,,location of,organism taxon,
t0235,phenotypic sex,,location of,event,
t0236,phenotypic sex,,is input of,molecular activity,
t0237,phenotypic sex,,is input of,biological process,
t0238,phenotypic sex,,is output of,molecular activity,
t0239,phenotypic sex,,is output of,biological process,
t0240,phenotypic sex,,actively involved in,molecular activity,
t0241,phenotypic sex,,actively involved in,biological process,
t0242,phenotypic sex,,capable of,activity and behavior,
t0243,phenotypic sex,,capable of,phenomenon,
t0244,phenotypic sex,,capable of,environmental process,
t0245,phenotypic sex,,consumes,attribute,
t0246,phenotypic sex,,consumes,organism taxon,
t0247,phenotypic sex,,consumes,event,
t0248,phenotypic sex,,consumed by,attribute,
t0249,phenotypic sex,,consumed by,organism taxon,
t0250,phenotypic sex,,consumed by,event,
t0251,phenotypic sex,,is molecular consequence of,,
t0252,genotypic sex,,related to,attribute,
t0253,genotypic sex,,related to,organism taxon,
t0254,genotypic sex,,related to,event,
t0255,genotypic sex,,associated with,attribute,
t0256,genotypic sex,,associated with,organism taxon,
t0257,genotypic sex,,associated with,event,
t0258,genotypic sex,,superclass of,attribute,
t0259,genotypic sex,,superclass of,relationship type,
t0260,genotypic sex,,superclass of,taxonomic rank,
t0261,genotypic sex,,subclass of,attribute,
t0262,genotypic sex,,subclass of,relationship type,
t0263,genotypic sex,,subclass of,taxonomic rank,
t0264,genotypic sex,,assesses,attribute,
t0265,genotypic sex,,assesses,organism taxon,
t0266,genotypic sex,,assesses,event,
t0267,genotypic sex,,is assessed by,attribute,
t0268,genotypic sex,,is assessed by,organism taxon,
t0269,genotypic sex,,is assessed by,event,
t0270,genotypic sex,,interacts with,attribute,
t0271,genotypic sex,,interacts with,organism taxon,
t0272,genotypic sex,,interacts with,event,
t0273,genotypic sex,,associated with sensitivity to,molecular entity,
t0274,genotypic sex,,associated with sensitivity to,chemical mixture,
t0275,genotypic sex,,associated with sensitivity to,environmental food contaminant,
t0276,genotypic sex,,associated with resistance to,molecular entity,
t0277,genotypic sex,,associated with resistance to,chemical mixture,
t0278,genotypic sex,,associated with resistance to,environmental food contaminant,
t0279,genotypic sex,,correlated with,attribute,
t0280,genotypic sex,,correlated with,organism taxon,
t0281,genotypic sex,,correlated with,event,
t0282,genotypic sex,,positively correlated with,attribute,
t0283,genotypic sex,,positively correlated with,organism taxon,
t0284,genotypic sex,,positively correlated with,event,
t0285,genotypic sex,,negatively correlated with,attribute,
t0286,genotypic sex,,negatively correlated with,organism taxon,
t0287,genotypic sex,,negatively correlated with,event,
t0288,genotypic sex,,occurs together in literature with,attribute,
t0289,genotypic sex,,occurs together in literature with,organism taxon,
t0290,genotypic sex,,occurs together in literature with,event,
t0291,genotypic sex,,located in,attribute,
t0292,genotypic sex,,located in,organism taxon,
t0293,genotypic sex,,located in,event,
t0294,genotypic sex,,location of,attribute,
t0295,genotypic sex,,location of,organism taxon,
t0296,genotypic sex,,location of,event,
t0297,genotypic sex,,is input of,molecular activity,
t0298,genotypic sex,,is input of,biological process,
t0299,genotypic sex,,is output of,molecular activity,
t0300,genotypic sex,,is output of,biological process,
t0301,genotypic sex,,actively involved in,molecular activity,
t0302,genotypic sex,,actively involved in,biological process,
t0303,genotypic sex,,capable of,activity and behavior,
t0304,genotypic sex,,capable of,phenomenon,
t0305,genotypic sex,,capable of,environmental process,
t0306,genotypic sex,,consumes,attribute,
t0307,genotypic sex,,consumes,organism taxon,
t0308,genotypic sex,,consumes,event,
t0309,genotypic sex,,consumed by,attribute,
t0310,genotypic sex,,consumed by,organism taxon,
t0311,genotypic sex,,consumed by,event,
t0312,genotypic sex,,is molecular consequence of,,
t0313,severity value,,related to,attribute,
t0314,severity value,,related to,organism taxon,
t0315,severity value,,related to,event,
t0316,severity value,,associated with,attribute,
t0317,severity value,,associated with,organism taxon,
t0318,severity value,,associated with,event,
t0319,severity value,,superclass of,attribute,
t0320,severity value,,superclass of,relationship type,
t0321,severity value,,superclass of,taxonomic rank,
t0322,severity value,,subclass of,attribute,
t0323,severity value,,subclass of,relationship type,
t0324,severity value,,subclass of,taxonomic rank,
t0325,severity value,,assesses,attribute,
t0326,severity value,,assesses,organism taxon,
t0327,severity value,,assesses,event,
t0328,severity value,,is assessed by,attribute,
t0329,severity value,,is assessed by,organism taxon,
t0330,severity value,,is assessed by,event,
t0331,severity value,,interacts with,attribute,
t0332,severity value,,interacts with,organism taxon,
t0333,severity value,,interacts with,event,
t0334,severity value,,associated with sensitivity to,molecular entity,
t0335,severity value,,associated with sensitivity to,chemical mixture,
t0336,severity value,,associated with sensitivity to,environmental food contaminant,
t0337,severity value,,associated with resistance to,molecular entity,
t0338,severity value,,associated with resistance to,chemical mixture,
t0339,severity value,,associated with resistance to,environmental food contaminant,
t0340,severity value,,correlated with,attribute,
t0341,severity value,,correlated with,organism taxon,
t0342,severity value,,correlated with,event,
t0343,severity value,,positively correlated with,attribute,
t0344,severity value,,positively correlated with,organism taxon,
t0345,severity value,,positively correlated with,event,
t0346,severity value,,negatively correlated with,attribute,
t0347,severity value,,negatively correlated with,organism taxon,
t0348,severity value,,negatively correlated with,event,
t0349,severity value,,occurs together in literature with,attribute,
t0350,severity value,,occurs together in literature with,organism taxon,
t0351,severity value,,occurs together in literature with,event,
t0352,severity value,,located in,attribute,
t0353,severity value,,located in,organism taxon,
t0354,severity value,,located in,event,
t0355,severity value,,location of,attribute,
t0356,severity value,,location of,organism taxon,
t0357,severity value,,location of,event,
t0358,severity value,,is input of,molecular activity,
t0359,severity value,,is input of,biological process,
t0360,severity value,,is output of,molecular activity,
t0361,severity value,,is output of,biological process,
t0362,severity value,,actively involved in,molecular activity,
t0363,severity value,,actively involved in,biological process,
t0364,severity value,,capable of,activity and behavior,
t0365,severity value,,capable of,phenomenon,
t0366,severity value,,capable of,environmental process,
t0367,severity value,,consumes,attribute,
t0368,severity value,,consumes,organism taxon,
t0369,severity value,,consumes,event,
t0370,severity value,,consumed by,attribute,
t0371,severity value,,consumed by,organism taxon,
t0372,severity value,,consumed by,event,
t0373,severity value,,is molecular consequence of,,
t0374,chemical or drug or treatment,,ameliorates condition,disease,
t0375,chemical or drug or treatment,,ameliorates condition,phenotypic feature,
t0376,chemical or drug or treatment,,preventative for condition,disease,
t0377,chemical or drug or treatment,,preventative for condition,phenotypic feature,
t0378,chemical or drug or treatment,,promotes condition,disease,
t0379,chemical or drug or treatment,,promotes condition,phenotypic feature,
t0380,chemical or drug or treatment,,predisposes to condition,disease,
t0381,chemical or drug or treatment,,predisposes to condition,phenotypic feature,
t0382,chemical or drug or treatment,,exacerbates condition,disease,
t0383,chemical or drug or treatment,,exacerbates condition,phenotypic feature,
t0384,chemical or drug or treatment,,treats,disease,
t0385,chemical or drug or treatment,,treats,phenotypic feature,
t0386,chemical or drug or treatment,,studied to treat,disease,
t0387,chemical or drug or treatment,,studied to treat,phenotypic feature,
t0388,chemical or drug or treatment,,in clinical trials for,disease,
t0389,chemical or drug or treatment,,in clinical trials for,phenotypic feature,
t0390,chemical or drug or treatment,,in preclinical trials for,disease,
t0391,chemical or drug or treatment,,in preclinical trials for,phenotypic feature,
t0392,chemical or drug or treatment,,beneficial in models for,disease,
t0393,chemical or drug or treatment,,beneficial in models for,phenotypic feature,
t0394,chemical or drug or treatment,,applied to treat,disease,
t0395,chemical or drug or treatment,,applied to treat,phenotypic feature,
t0396,chemical or drug or treatment,,treats or applied or studied to treat,disease,
t0397,chemical or drug or treatment,,treats or applied or studied to treat,phenotypic feature,
t0398,chemical or drug or treatment,,has adverse event,disease,
t0399,chemical or drug or treatment,,has adverse event,phenotypic feature,
t0400,chemical or drug or treatment,,has side effect,disease,
t0401,chemical or drug or treatment,,has side effect,phenotypic feature,
t0402,chemical or drug or treatment,,contraindicated in,regulatory region,
t0403,chemical or drug or treatment,,contraindicated in,biological process or activity,
t0404,chemical or drug or treatment,,contraindicated in,genetic inheritance,
t0405,named thing,,related to,attribute,
t0406,named thing,,related to,organism taxon,
t0407,named thing,,related to,event,
t0408,named thing,,associated with,attribute,
t0409,named thing,,associated with,organism taxon,
t0410,named thing,,associated with,event,
t0411,named thing,,assesses,attribute,
t0412,named thing,,assesses,organism taxon,
t0413,named thing,,assesses,event,
t0414,named thing,,is assessed by,attribute,
t0415,named thing,,is assessed by,organism taxon,
t0416,named thing,,is assessed by,event,
t0417,named thing,,interacts with,attribute,
t0418,named thing,,interacts with,organism taxon,
t0419,named thing,,interacts with,event,
t0420,named thing,,associated with sensitivity to,molecular entity,
t0421,named thing,,associated with sensitivity to,chemical mixture,
t0422,named thing,,associated with sensitivity to,environmental food contaminant,
t0423,named thing,,associated with resistance to,molecular entity,
t0424,named thing,,associated with resistance to,chemical mixture,
t0425,named thing,,associated with resistance to,environmental food contaminant,
t0426,named thing,,correlated with,attribute,
t0427,named thing,,correlated with,organism taxon,
t0428,named thing,,correlated with,event,
t0429,named thing,,positively correlated with,attribute,
t0430,named thing,,positively correlated with,organism taxon,
t0431,named thing,,positively correlated with,event,
t0432,named thing,,negatively correlated with,attribute,
t0433,named thing,,negatively correlated with,organism taxon,
t0434,named thing,,negatively correlated with,event,
t0435,named thing,,occurs together in literature with,attribute,
t0436,named thing,,occurs together in literature with,organism taxon,
t0437,named thing,,occurs together in literature with,event,
t0438,named thing,,located in,attribute,
t0439,named thing,,located in,organism taxon,
t0440,named thing,,located in,event,
t0441,named thing,,location of,attribute,
t0442,named thing,,location of,organism taxon,
t0443,named thing,,location of,event,
t0444,named thing,,is input of,molecular activity,
t0445,named thing,,is input of,biological process,
t0446,named thing,,is output of,molecular activity,
t0447,named thing,,is output of,biological process,
t0448,named thing,,actively involved in,molecular activity,
t0449,named thing,,actively involved in,biological process,
t0450,named thing,,capable of,activity and behavior,
t0451,named thing,,capable of,phenomenon,
t0452,named thing,,capable of,environmental process,
t0453,named thing,,consumes,attribute,
t0454,named thing,,consumes,organism taxon,
t0455,named thing,,consumes,event,
t0456,named thing,,consumed by,attribute,
t0457,named thing,,consumed by,organism taxon,
t0458,named thing,,consumed by,event,
t0459,relationship type,,superclass of,attribute,
t0460,relationship type,,superclass of,relationship type,
t0461,relationship type,,superclass of,taxonomic rank,
t0462,relationship type,,subclass of,attribute,
t0463,relationship type,,subclass of,relationship type,
t0464,relationship type,,subclass of,taxonomic rank,
t0465,relationship type,,is molecular consequence of,,
t0466,taxonomic rank,,superclass of,attribute,
t0467,taxonomic rank,,superclass of,relationship type,
t0468,taxonomic rank,,superclass of,taxonomic rank,
t0469,taxonomic rank,,subclass of,attribute,
t0470,taxonomic rank,,subclass of,relationship type,
t0471,taxonomic rank,,subclass of,taxonomic rank,
t0472,taxonomic rank,,is molecular consequence of,,
t0473,organism taxon,,related to,attribute,
t0474,organism taxon,,related to,organism taxon,
t0475,organism taxon,,related to,event,
t0476,organism taxon,,associated with,attribute,
t0477,organism taxon,,associated with,organism taxon,
t0478,organism taxon,,associated with,event,
t0479,organism taxon,,assesses,attribute,
t0480,organism taxon,,assesses,organism taxon,
t0481,organism taxon,,assesses,event,
t0482,organism taxon,,is assessed by,attribute,
t0483,organism taxon,,is assessed by,organism taxon,
t0484,organism taxon,,is assessed by,event,
t0485,organism taxon,,interacts with,attribute,
t0486,organism taxon,,interacts with,organism taxon,
t0487,organism taxon,,interacts with,event,
t0488,organism taxon,,associated with sensitivity to,molecular entity,
t0489,organism taxon,,associated with sensitivity to,chemical mixture,
t0490,organism taxon,,associated with sensitivity to,environmental food contaminant,
t0491,organism taxon,,associated with resistance to,molecular entity,
t0492,organism taxon,,associated with resistance to,chemical mixture,
t0493,organism taxon,,associated with resistance to,environmental food contaminant,
t0494,organism taxon,,correlated with,attribute,
t0495,organism taxon,,correlated with,organism taxon,
t0496,organism taxon,,correlated with,event,
t0497,organism taxon,,positively correlated with,attribute,
t0498,organism taxon,,positively correlated with,organism taxon,
t0499,organism taxon,,positively correlated with,event,
t0500,organism taxon,,negatively correlated with,attribute,
t0501,organism taxon,,negatively correlated with,organism taxon,
t0502,organism taxon,,negatively correlated with,event,
t0503,organism taxon,,occurs together in literature with,attribute,
t0504,organism taxon,,occurs together in literature with,organism taxon,
t0505,organism taxon,,occurs together in literature with,event,
t0506,organism taxon,,located in,attribute,
t0507,organism taxon,,located in,organism taxon,
t0508,organism taxon,,located in,event,
t0509,organism taxon,,location of,attribute,
t0510,organism taxon,,location of,organism taxon,
t0511,organism taxon,,location of,event,
t0512,organism taxon,,is input of,molecular activity,
t0513,organism taxon,,is input of,biological process,
t0514,organism taxon,,is output of,molecular activity,
t0515,organism taxon,,is output of,biological process,
t0516,organism taxon,,actively involved in,molecular activity,
t0517,organism taxon,,actively involved in,biological process,
t0518,organism taxon,,capable of,activity and behavior,
t0519,organism taxon,,capable of,phenomenon,
t0520,organism taxon,,capable of,environmental process,
t0521,organism taxon,,consumes,attribute,
t0522,organism taxon,,consumes,organism taxon,
t0523,organism taxon,,consumes,event,
t0524,organism taxon,,consumed by,attribute,
t0525,organism taxon,,consumed by,organism taxon,
t0526,organism taxon,,consumed by,event,
t0527,organism taxon,,taxon of,biological entity,
t0528,organism taxon,,taxon of,nucleic acid entity,
t0529,organism taxon,,taxon of,genomic background exposure,
t0530,event,,related to,attribute,
t0531,event,,related to,organism taxon,
t0532,event,,related to,event,
t0533,event,,associated with,attribute,
t0534,event,,associated with,organism taxon,
t0535,event,,associated with,event,
t0536,event,,assesses,attribute,
t0537,event,,assesses,organism taxon,
t0538,event,,assesses,event,
t0539,event,,is assessed by,attribute,
t0540,event,,is assessed by,organism taxon,
t0541,event,,is assessed by,event,
t0542,event,,interacts with,attribute,
t0543,event,,interacts with,organism taxon,
t0544,event,,interacts with,event,
t0545,event,,associated with sensitivity to,molecular entity,
t0546,event,,associated with sensitivity to,chemical mixture,
t0547,event,,associated with sensitivity to,environmental food contaminant,
t0548,event,,associated with resistance to,molecular entity,
t0549,event,,associated with resistance to,chemical mixture,
t0550,event,,associated with resistance to,environmental food contaminant,
t0551,event,,correlated with,attribute,
t0552,event,,correlated with,organism taxon,
t0553,event,,correlated with,event,
t0554,event,,positively correlated with,attribute,
t0555,event,,positively correlated with,organism taxon,
t0556,event,,positively correlated with,event,
t0557,event,,negatively correlated with,attribute,
t0558,event,,negatively correlated with,organism taxon,
t0559,event,,negatively correlated with,event,
t0560,event,,occurs together in literature with,attribute,
t0561,event,,occurs together in literature with,organism taxon,
t0562,event,,occurs together in literature with,event,
t0563,event,,located in,attribute,
t0564,event,,located in,organism taxon,
t0565,event,,located in,event,
t0566,event,,location of,attribute,
t0567,event,,location of,organism taxon,
t0568,event,,location of,event,
t0569,event,,is input of,molecular activity,
t0570,event,,is input of,biological process,
t0571,event,,is output of,molecular activity,
t0572,event,,is output of,biological process,
t0573,event,,actively involved in,molecular activity,
t0574,event,,actively involved in,biological process,
t0575,event,,capable of,activity and behavior,
t0576,event,,capable of,phenomenon,
t0577,event,,capable of,environmental process,
t0578,event,,consumes,attribute,
t0579,event,,consumes,organism taxon,
t0580,event,,consumes,event,
t0581,event,,consumed by,attribute,
t0582,event,,consumed by,organism taxon,
t0583,event,,consumed by,event,
t0584,administrative entity,,related to,attribute,
t0585,administrative entity,,related to,organism taxon,
t0586,administrative entity,,related to,event,
t0587,administrative entity,,associated with,attribute,
t0588,administrative entity,,associated with,organism taxon,
t0589,administrative entity,,associated with,event,
t0590,administrative entity,,assesses,attribute,
t0591,administrative entity,,assesses,organism taxon,
t0592,administrative entity,,assesses,event,
t0593,administrative entity,,is assessed by,attribute,
t0594,administrative entity,,is assessed by,organism taxon,
t0595,administrative entity,,is assessed by,event,
t0596,administrative entity,,interacts with,attribute,
t0597,administrative entity,,interacts with,organism taxon,
t0598,administrative entity,,interacts with,event,
t0599,administrative entity,,associated with sensitivity to,molecular entity,
t0600,administrative entity,,associated with sensitivity to,chemical mixture,
t0601,administrative entity,,associated with sensitivity to,environmental food contaminant,
t0602,administrative entity,,associated with resistance to,molecular entity,
t0603,administrative entity,,associated with resistance to,chemical mixture,
t0604,administrative entity,,associated with resistance to,environmental food contaminant,
t0605,administrative entity,,correlated with,attribute,
t0606,administrative entity,,correlated with,organism taxon,
t0607,administrative entity,,correlated with,event,
t0608,administrative entity,,positively correlated with,attribute,
t0609,administrative entity,,positively correlated with,organism taxon,
t0610,administrative entity,,positively correlated with,event,
t0611,administrative entity,,negatively correlated with,attribute,
t0612,administrative entity,,negatively correlated with,organism taxon,
t0613,administrative entity,,negatively correlated with,event,
t0614,administrative entity,,occurs together in literature with,attribute,
t0615,administrative entity,,occurs together in literature with,organism taxon,
t0616,administrative entity,,occurs together in literature with,event,
t0617,administrative entity,,located in,attribute,
t0618,administrative entity,,located in,organism taxon,
t0619,administrative entity,,located in,event,
t0620,administrative entity,,location of,attribute,
t0621,administrative entity,,location of,organism taxon,
t0622,administrative entity,,location of,event,
t0623,administrative entity,,is input of,molecular activity,
t0624,administrative entity,,is input of,biological process,
t0625,administrative entity,,is output of,molecular activity,
t0626,administrative entity,,is output of,biological process,
t0627,administrative entity,,actively involved in,molecular activity,
t0628,administrative entity,,actively involved in,biological process,
t0629,administrative entity,,capable of,activity and behavior,
t0630,administrative entity,,capable of,phenomenon,
t0631,administrative entity,,capable of,environmental process,
t0632,administrative entity,,consumes,attribute,
t0633,administrative entity,,consumes,organism taxon,
t0634,administrative entity,,consumes,event,
t0635,administrative entity,,consumed by,attribute,
t0636,administrative entity,,consumed by,organism taxon,
t0637,administrative entity,,consumed by,event,
t0638,study result,,related to,attribute,
t0639,study result,,related to,organism taxon,
t0640,study result,,related to,event,
t0641,study result,,associated with,attribute,
t0642,study result,,associated with,organism taxon,
t0643,study result,,associated with,event,
t0644,study result,,has contributor,agent,
t0645,study result,,has provider,agent,
